"DisplayName","Direction","Action","Enabled","Profile"
"Windows Management Instrumentation (DCOM-In)","Inbound","Allow","False","Private, Public"
"Wireless Display Infrastructure Back Channel (TCP-In)","Inbound","Allow","True","Any"
"Windows Collaboration Computer Name Registration Service (SSDP-Out)","Outbound","Allow","False","Any"
"Network Discovery (Pub-WSD-In)","Inbound","Allow","True","Private"
"Network Discovery (WSD EventsSecure-Out)","Outbound","Allow","True","Public"
"Core Networking - Group Policy (LSASS-Out)","Outbound","Allow","True","Domain"
"Recommended Troubleshooting Client (HTTP/HTTPS Out)","Outbound","Allow","True","Any"
"Remote Scheduled Tasks Management (RPC-EPMAP)","Inbound","Allow","False","Domain"
"Remote Assistance (PNRP-In)","Inbound","Allow","True","Domain, Private"
"Network Discovery (UPnP-Out)","Outbound","Allow","True","Domain"
"Windows Peer to Peer Collaboration Foundation (PNRP-In)","Inbound","Allow","False","Any"
"DIAL protocol server (HTTP-In)","Inbound","Allow","True","Domain"
"Network Discovery (WSD Events-In)","Inbound","Allow","True","Domain"
"Remote Service Management (RPC-EPMAP)","Inbound","Allow","False","Domain"
"Windows Management Instrumentation (ASync-In)","Inbound","Allow","False","Domain"
"Network Discovery (WSD Events-Out)","Outbound","Allow","True","Domain"
"Network Discovery (Pub WSD-Out)","Outbound","Allow","True","Private"
"Network Discovery (LLMNR-UDP-Out)","Outbound","Allow","True","Domain, Public"
"Virtual Machine Monitoring (NB-Session-In)","Inbound","Allow","False","Any"
"Windows Defender Firewall Remote Management (RPC)","Inbound","Allow","False","Domain"
"Wireless Display (TCP-Out)","Outbound","Allow","True","Any"
"Wireless Display (UDP-Out)","Outbound","Allow","True","Any"
"Remote Assistance (RA Server TCP-Out)","Outbound","Allow","True","Domain"
"Core Networking - Router Advertisement (ICMPv6-Out)","Outbound","Allow","True","Any"
"Windows Peer to Peer Collaboration Foundation (TCP-Out)","Outbound","Allow","False","Any"
"Network Discovery (WSD EventsSecure-In)","Inbound","Allow","True","Domain"
"Core Networking - Neighbor Discovery Advertisement (ICMPv6-In)","Inbound","Allow","True","Any"
"Core Networking - IPHTTPS (TCP-Out)","Outbound","Allow","True","Any"
"Microsoft Media Foundation Network Source IN [TCP 554]","Inbound","Allow","True","Any"
"Network Discovery (SSDP-In)","Inbound","Allow","True","Domain, Public"
"Remote Service Management (RPC)","Inbound","Allow","False","Private, Public"
"Remote Service Management (RPC-EPMAP)","Inbound","Allow","False","Private, Public"
"Core Networking - Internet Group Management Protocol (IGMP-Out)","Outbound","Allow","True","Any"
"Windows Remote Management - Compatibility Mode (HTTP-In)","Inbound","Allow","False","Private, Public"
"Network Discovery (WSD-In)","Inbound","Allow","True","Domain, Public"
"Windows Peer to Peer Collaboration Foundation (WSD-Out)","Outbound","Allow","False","Any"
"iSCSI Service (TCP-In)","Inbound","Allow","False","Domain"
"Network Discovery (NB-Name-In)","Inbound","Allow","True","Private"
"Core Networking - Parameter Problem (ICMPv6-In)","Inbound","Allow","True","Any"
"Core Networking - DNS (UDP-Out)","Outbound","Allow","True","Any"
"Network Discovery (NB-Datagram-Out)","Outbound","Allow","True","Private"
"Network Discovery (NB-Datagram-In)","Inbound","Allow","True","Public"
"Remote Service Management (NP-In)","Inbound","Allow","False","Domain"
"Core Networking - Teredo (UDP-In)","Inbound","Allow","True","Any"
"Remote Service Management (RPC)","Inbound","Allow","False","Domain"
"Microsoft Media Foundation Network Source OUT [TCP ALL]","Outbound","Allow","True","Any"
"Windows Collaboration Computer Name Registration Service (PNRP-Out)","Outbound","Allow","False","Any"
"Distributed Transaction Coordinator (RPC-EPMAP)","Inbound","Allow","False","Private, Public"
"Network Discovery (UPnP-In)","Inbound","Allow","True","Public"
"Core Networking - Neighbor Discovery Advertisement (ICMPv6-Out)","Outbound","Allow","True","Any"
"AllJoyn Router (UDP-Out)","Outbound","Allow","True","Domain, Private"
"Windows Defender Firewall Remote Management (RPC-EPMAP)","Inbound","Allow","False","Domain"
"Remote Service Management (NP-In)","Inbound","Allow","False","Private, Public"
"Windows Device Management Device Enroller (TCP out)","Outbound","Allow","True","Any"
"Core Networking - Multicast Listener Query (ICMPv6-Out)","Outbound","Allow","True","Any"
"Windows Peer to Peer Collaboration Foundation (SSDP-Out)","Outbound","Allow","False","Any"
"Network Discovery (NB-Name-In)","Inbound","Allow","True","Domain"
"Core Networking Diagnostics - ICMP Echo Request (ICMPv6-In)","Inbound","Allow","False","Private, Public"
"Remote Volume Management (RPC-EPMAP)","Inbound","Allow","False","Domain"
"Remote Volume Management - Virtual Disk Service Loader (RPC)","Inbound","Allow","False","Private, Public"
"TPM Virtual Smart Card Management (DCOM-In)","Inbound","Allow","False","Private, Public"
"TPM Virtual Smart Card Management (TCP-In)","Inbound","Allow","False","Private, Public"
"TPM Virtual Smart Card Management (TCP-Out)","Outbound","Allow","False","Private, Public"
"Remote Assistance (SSDP UDP-In)","Inbound","Allow","True","Domain, Private"
"Network Discovery (WSD EventsSecure-Out)","Outbound","Allow","True","Domain"
"Network Discovery (LLMNR-UDP-Out)","Outbound","Allow","True","Private"
"Network Discovery for Teredo (UPnP-In)","Inbound","Allow","True","Public"
"Network Discovery (Pub WSD-Out)","Outbound","Allow","True","Domain, Public"
"Core Networking - Time Exceeded (ICMPv6-Out)","Outbound","Allow","True","Any"
"Netlogon Service (NP-In)","Inbound","Allow","False","Any"
"Network Discovery (SSDP-In)","Inbound","Allow","True","Private"
"Virtual Machine Monitoring (Echo Request - ICMPv4-In)","Inbound","Allow","False","Any"
"Connected Devices Platform (UDP-In)","Inbound","Allow","True","Domain, Private"
"Connected Devices Platform (TCP-In)","Inbound","Allow","True","Domain, Private"
"Remote Scheduled Tasks Management (RPC-EPMAP)","Inbound","Allow","False","Private, Public"
"mDNS (UDP-In)","Inbound","Allow","True","Private"
"AllJoyn Router (TCP-Out)","Outbound","Allow","True","Domain, Private"
"Remote Assistance (TCP-In)","Inbound","Allow","False","Public"
"Proximity sharing over TCP (TCP sharing-Out)","Outbound","Allow","True","Any"
"Network Discovery (LLMNR-UDP-In)","Inbound","Allow","True","Private"
"Virtual Machine Monitoring (Echo Request - ICMPv6-In)","Inbound","Allow","False","Any"
"Core Networking - Multicast Listener Report (ICMPv6-Out)","Outbound","Allow","True","Any"
"TPM Virtual Smart Card Management (TCP-Out)","Outbound","Allow","False","Domain"
"Wi-Fi Direct Network Discovery (Out)","Outbound","Allow","True","Public"
"Routing and Remote Access (L2TP-In)","Inbound","Allow","False","Any"
"Core Networking - Packet Too Big (ICMPv6-In)","Inbound","Allow","True","Any"
