"DisplayName","Direction","Action","Enabled","Profile"
"File and Printer Sharing (SMB-In)","Inbound","Allow","False","Domain"
"File and Printer Sharing (Echo Request - ICMPv6-Out)","Outbound","Allow","False","Domain"
"File and Printer Sharing (Spooler Service Worker - RPC)","Inbound","Allow","False","Domain"
"File and Printer Sharing (Restrictive) (Echo Request - ICMPv4-In)","Inbound","Allow","False","Any"
"File and Printer Sharing (NB-Datagram-Out)","Outbound","Allow","False","Private, Public"
"WFD Driver-only (TCP-Out)","Outbound","Allow","True","Any"
"File and Printer Sharing (NB-Session-Out)","Outbound","Allow","False","Domain"
"File and Printer Sharing (Echo Request - ICMPv6-In)","Inbound","Allow","False","Private, Public"
"File and Printer Sharing (Restrictive) (Spooler Service - RPC-EPMAP)","Inbound","Allow","False","Any"
"File and Printer Sharing (Restrictive) (Echo Request - ICMPv4-Out)","Outbound","Allow","False","Any"
"Inbound Rule for Remote Shutdown (RPC-EP-In)","Inbound","Allow","False","Any"
"File and Printer Sharing (Echo Request - ICMPv6-In)","Inbound","Allow","False","Domain"
"WFD Driver-only (UDP-Out)","Outbound","Allow","True","Any"
"WFD ASP Coordination Protocol (UDP-In)","Inbound","Allow","True","Any"
"File and Printer Sharing (NB-Name-Out)","Outbound","Allow","False","Private, Public"
"File and Printer Sharing (NB-Datagram-In)","Inbound","Allow","False","Private, Public"
"File and Printer Sharing (Echo Request - ICMPv4-In)","Inbound","Allow","False","Domain"
"File and Printer Sharing (LLMNR-UDP-In)","Inbound","Allow","False","Any"
"File and Printer Sharing (LLMNR-UDP-Out)","Outbound","Allow","False","Any"
"File and Printer Sharing (Restrictive) (Echo Request - ICMPv6-In)","Inbound","Allow","False","Any"
"Office","Outbound","Allow","True","Any"
"@{Microsoft.LockApp_10.0.22621.4974_neutral__cw5n1h2txyewy?ms-resource://Microsoft.LockApp/resources/AppDisplayName}","Outbound","Allow","True","Any"
"@{MicrosoftWindows.Client.CBS_1000.22700.1077.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.CBS/resources/ProductPkgDisplayName}","Inbound","Allow","True","Domain, Private"
"@{MicrosoftWindows.Client.CBS_1000.22700.1077.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.CBS/resources/ProductPkgDisplayName}","Outbound","Allow","True","Any"
"@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.4249_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}","Inbound","Allow","True","Domain, Private"
"@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.4249_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}","Outbound","Allow","True","Any"
"Microsoft Solitaire Collection","Inbound","Allow","True","Domain, Private"
"Microsoft Solitaire Collection","Outbound","Allow","True","Any"
"@{Microsoft.XboxGameCallableUI_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.XboxGameCallableUI/resources/PkgDisplayName}","Outbound","Allow","True","Any"
"@{Microsoft.Windows.PeopleExperienceHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.PeopleExperienceHost/resources/PkgDisplayName}","Outbound","Allow","True","Any"
"@{Microsoft.AccountsControl_10.0.22621.1_neutral__cw5n1h2txyewy?ms-resource://Microsoft.AccountsControl/Resources/DisplayName}","Outbound","Allow","True","Any"
"@{Microsoft.Windows.ParentalControls_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ParentalControls/resources/DisplayName}","Outbound","Allow","True","Any"
"@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}","Inbound","Allow","True","Any"
"@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}","Outbound","Allow","True","Any"
"Intel? Graphics Command Center","Outbound","Allow","True","Any"
"Snappy Driver Installer","Inbound","Allow","True","Public"
"Snappy Driver Installer","Inbound","Allow","True","Public"
"@{Microsoft.Windows.Apprep.ChxApp_1000.22621.1.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Apprep.ChxApp/resources/DisplayName}","Outbound","Allow","True","Any"
"Microsoft Tips","Outbound","Allow","True","Any"
"@{Microsoft.Windows.ContentDeliveryManager_10.0.22621.2506_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.ContentDeliveryManager/resources/AppDisplayName}","Outbound","Allow","True","Any"
"@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}","Inbound","Allow","True","Domain, Private"
"@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}","Outbound","Allow","True","Any"
"@{Microsoft.Windows.CloudExperienceHost_10.0.22621.2506_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}","Inbound","Allow","True","Domain, Private"
"@{Microsoft.Windows.CloudExperienceHost_10.0.22621.2506_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}","Outbound","Allow","True","Any"
"Work or school account","Outbound","Allow","True","Domain, Private, Public"
"Work or school account","Inbound","Allow","True","Domain, Private"
"Email and accounts","Outbound","Allow","True","Domain, Private, Public"
"Desktop App Web Viewer","Outbound","Allow","True","Domain, Private, Public"
"Desktop App Web Viewer","Inbound","Allow","True","Domain, Private, Public"
"Windows Defender SmartScreen","Outbound","Allow","True","Domain, Private, Public"
"Your account","Outbound","Allow","True","Domain, Private, Public"
"Your account","Inbound","Allow","True","Domain, Private"
"Microsoft Content","Outbound","Allow","True","Domain, Private, Public"
"Microsoft Family Safety","Outbound","Allow","True","Domain, Private, Public"
"Windows Shell Experience","Outbound","Allow","True","Domain, Private, Public"
"Print Queue","Outbound","Allow","True","Domain, Private, Public"
"Xbox Game UI","Outbound","Allow","True","Domain, Private, Public"
"@{MicrosoftWindows.LKG.AccountsService_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.AccountsService/Resources/ProductPkgDisplayName}","Outbound","Allow","True","Domain, Private, Public"
"@{MicrosoftWindows.LKG.DesktopSpotlight_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.DesktopSpotlight/Resources/ProductPkgDisplayName}","Outbound","Allow","True","Domain, Private, Public"
"@{MicrosoftWindows.LKG.DesktopSpotlight_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.DesktopSpotlight/Resources/ProductPkgDisplayName}","Inbound","Allow","True","Domain, Private"
"@{MicrosoftWindows.LKG.IrisService_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.IrisService/Resources/ProductPkgDisplayName}","Outbound","Allow","True","Domain, Private, Public"
"@{MicrosoftWindows.LKG.RulesEngine_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.RulesEngine/Resources/ProductPkgDisplayName}","Outbound","Allow","True","Domain, Private, Public"
"@{MicrosoftWindows.LKG.SpeechRuntime_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.SpeechRuntime/Resources/ProductPkgDisplayName}","Outbound","Allow","True","Domain, Private, Public"
"Windows Print","Outbound","Allow","True","Domain, Private, Public"
"windows_ie_ac_001","Outbound","Allow","True","Domain, Private, Public"
"Narrator","Outbound","Allow","True","Domain, Private, Public"
"@{Microsoft.XboxGamingOverlay_2.624.1111.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.XboxGamingOverlay/resources/GameBar}","Outbound","Allow","True","Domain, Private, Public"
"@{Microsoft.XboxGamingOverlay_2.624.1111.0_x64__8wekyb3d8bbwe?ms-resource://Microsoft.XboxGamingOverlay/resources/GameBar}","Inbound","Allow","True","Domain, Private, Public"
"Microsoft 365 (Office)","Outbound","Allow","True","Domain, Private, Public"
"Xbox TCUI","Outbound","Allow","True","Domain, Private, Public"
"Windows Calculator","Outbound","Allow","True","Domain, Private, Public"
"Get Help","Outbound","Allow","True","Domain, Private, Public"
"Microsoft People","Outbound","Allow","True","Domain, Private, Public"
"Mail and Calendar","Outbound","Allow","True","Domain, Private, Public"
"Mail and Calendar","Inbound","Allow","True","Domain, Private, Public"
"News","Outbound","Allow","True","Domain, Private, Public"
"Xbox Identity Provider","Outbound","Allow","True","Domain, Private, Public"
"Xbox Game Bar Plugin","Outbound","Allow","True","Domain, Private, Public"
"Microsoft Lync","Inbound","Allow","True","Public"
"Microsoft Lync UcMapi","Inbound","Allow","True","Public"
"Microsoft Family","Outbound","Allow","True","Domain, Private, Public"
"VMware Authd Service","Inbound","Allow","True","Domain"
"VMware Authd Service (private)","Inbound","Allow","True","Private"
"Packet Tracer Executable","Inbound","Block","True","Public"
"Packet Tracer Executable","Inbound","Block","True","Public"
"Captive Portal Flow","Outbound","Allow","True","Domain, Private, Public"
"Zoom Video Meeting","Inbound","Allow","True","Any"
"Airhost service for Zoom Video Meetings","Inbound","Allow","True","Any"
"Airhost service for Zoom Video Meetings","Inbound","Allow","True","Any"
"@{MicrosoftWindows.55182690.Taskbar_1000.26100.4061.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.55182690.Taskbar/Resources/ProductPkgDisplayName}","Outbound","Allow","True","Domain, Private, Public"
"@{MicrosoftWindows.LKG.TwinSxS_1000.26100.4061.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.TwinSxS/Resources/ProductPkgDisplayName}","Outbound","Allow","True","Domain, Private, Public"
"Microsoft To Do","Outbound","Allow","True","Domain, Private, Public"
"Microsoft To Do","Inbound","Allow","True","Domain, Private"
"Windows Security","Outbound","Allow","True","Domain, Private, Public"
"Windows Security","Inbound","Allow","True","Domain, Private"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Private"
"Windows Default Lock Screen","Outbound","Allow","True","Domain, Private, Public"
"Windows Sound Recorder","Outbound","Allow","True","Domain, Private, Public"
"Widgets Platform Runtime","Outbound","Allow","True","Domain, Private, Public"
"Microsoft Edge Game Assist","Outbound","Allow","True","Domain, Private, Public"
"capcut.exe","Inbound","Allow","True","Public"
"capcut.exe","Inbound","Allow","True","Public"
"capcut.exe","Inbound","Allow","True","Public"
"capcut.exe","Inbound","Allow","True","Public"
"NVIDIA Control Panel","Outbound","Allow","True","Domain, Private, Public"
"capcut.exe","Inbound","Allow","True","Public"
"capcut.exe","Inbound","Allow","True","Public"
"Windows Camera","Outbound","Allow","True","Domain, Private, Public"
"Windows Camera","Inbound","Allow","True","Domain, Private"
"Windows Media Player","Outbound","Allow","True","Domain, Private, Public"
"Windows Media Player","Inbound","Allow","True","Domain, Private"
"Windows Web Experience Pack","Outbound","Allow","True","Domain, Private, Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Private"
"Microsoft Teams","Inbound","Allow","True","Any"
"Microsoft Teams","Inbound","Allow","True","Any"
"Microsoft Teams","Outbound","Allow","True","Domain, Private, Public"
"Microsoft Teams","Inbound","Allow","True","Domain, Private, Public"
"Feedback Hub","Outbound","Allow","True","Domain, Private, Public"
"Feedback Hub","Inbound","Allow","True","Domain, Private"
"Xbox","Outbound","Allow","True","Domain, Private, Public"
"Xbox","Inbound","Allow","True","Domain, Private"
"Microsoft Clipchamp","Outbound","Allow","True","Domain, Private, Public"
"Solitaire & Casual Games","Outbound","Allow","True","Domain, Private, Public"
"Solitaire & Casual Games","Inbound","Allow","True","Domain, Private"
"Movies & TV","Outbound","Allow","True","Domain, Private, Public"
"Movies & TV","Inbound","Allow","True","Domain, Private"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Inbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Private"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Public"
"ms-resource:ProductPkgDisplayName","Outbound","Allow","True","Private"
"Start","Outbound","Allow","True","Domain, Private, Public"
"Start","Inbound","Allow","True","Domain, Private"
"Windows Feature Experience Pack","Outbound","Allow","True","Domain, Private, Public"
"Windows Feature Experience Pack","Outbound","Allow","True","Domain, Private, Public"
"Windows Feature Experience Pack","Outbound","Allow","True","Domain, Private, Public"
"Windows Feature Experience Pack","Outbound","Allow","True","Domain, Private, Public"
"Windows Feature Experience Pack","Outbound","Allow","True","Domain, Private, Public"
"Windows Feature Experience Pack","Outbound","Allow","True","Domain, Private, Public"
"Windows Feature Experience Pack","Inbound","Allow","True","Domain, Private, Public"
"Click to Do (preview)","Outbound","Allow","True","Domain, Private, Public"
"Windows Feature Experience Pack","Outbound","Allow","True","Domain, Private, Public"
"Windows Feature Experience Pack","Inbound","Allow","True","Domain, Private"
"Windows Feature Experience Pack","Outbound","Allow","True","Domain, Private, Public"
"Windows Feature Experience Pack","Outbound","Allow","True","Domain, Private, Public"
"Windows Feature Experience Pack","Inbound","Allow","True","Domain, Private, Public"
"Windows Feature Experience Pack","Outbound","Allow","True","Domain, Private, Public"
"Windows Feature Experience Pack","Inbound","Allow","True","Domain, Private"
"AnyDesk","Inbound","Allow","True","Private"
"AnyDesk","Inbound","Allow","True","Private"
"AnyDesk","Inbound","Allow","True","Public"
"AnyDesk","Inbound","Allow","True","Public"
"AnyDesk","Inbound","Allow","True","Domain"
"AnyDesk","Inbound","Allow","True","Domain"
"App Installer","Outbound","Allow","True","Domain, Private, Public"
"App Installer","Inbound","Allow","True","Domain, Private"
"Microsoft Store","Outbound","Allow","True","Domain, Private, Public"
"Microsoft Store","Inbound","Allow","True","Domain, Private, Public"
"ms-resource:AppTitle","Inbound","Allow","True","Any"
"ms-resource:AppTitle","Inbound","Allow","True","Any"
"ms-resource:AppTitle","Inbound","Allow","True","Any"
"ms-resource:AppTitle","Inbound","Allow","True","Any"
"ms-resource:AppTitle","Inbound","Allow","True","Any"
"ms-resource:AppTitle","Inbound","Allow","True","Any"
"ms-resource:AppTitle","Inbound","Allow","True","Any"
"ms-resource:AppTitle","Inbound","Allow","True","Any"
"ms-resource:AppTitle","Outbound","Allow","True","Any"
"ms-resource:AppTitle","Outbound","Allow","True","Any"
"Spotify - Music and Podcasts","Outbound","Allow","True","Domain, Private, Public"
"Microsoft Edge (mDNS-In)","Inbound","Allow","True","Any"
"Microsoft Edge (mDNS-In)","Inbound","Allow","True","Any"
"OfficePushNotificationsUtility","Outbound","Allow","True","Domain, Private, Public"
"Microsoft.Office.ActionsServer","Outbound","Allow","True","Domain, Private, Public"
"Microsoft Office Outlook","Inbound","Allow","True","Public"
"Microsoft Lync","Inbound","Allow","True","Public"
"Microsoft Lync UcMapi","Inbound","Allow","True","Public"
"Windows Terminal","Outbound","Allow","True","Domain, Private, Public"
"Store Experience Host","Outbound","Allow","True","Domain, Private, Public"
"Store Experience Host","Inbound","Allow","True","Domain, Private"
"WhatsApp","Outbound","Allow","True","Domain, Private, Public"
"WhatsApp","Inbound","Allow","True","Domain, Private"
"Google Chrome (mDNS-In)","Inbound","Allow","True","Any"
"Block_TCP_Port_23","Inbound","Block","True","Any"
